model,MRR,Hits@1,Hits@3,Hits@10,MeanRank,training_time_seconds,evaluation_time_seconds
TransE,0.13871628046035767,0.036852589641434265,0.1785358565737052,0.3314243027888446,618.2542114257812,86.17711400985718,24.089558839797974
DistMult,0.1986020803451538,0.09262948207171315,0.23705179282868527,0.4123505976095618,693.1837768554688,101.95908522605896,22.73614764213562
ComplEx,0.007432396989315747,0.0047310756972111555,0.005478087649402391,0.008964143426294821,3420.4326171875,172.59473299980164,15.290669202804565
