entity_class,canonical_text,total_count,entity_label,page_context,urls,aliases,entity_id
CHARACTER,Allston Wheatley,27,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Allston_Wheatley|https://the-queens-gambit.fandom.com/wiki/Alma_Wheatley|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Middle_Game,Allston|Allston Wheatley|Wheatley|Wheatleys,CHARACTER:allston_wheatley-f1869f
CHARACTER,Paul Morphy,24,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alice_Harmon|https://the-queens-gambit.fandom.com/wiki/Benny_Watts|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Fork|https://the-queens-gambit.fandom.com/wiki/Openings,Morphy|Paul|Paul Morphy,CHARACTER:paul_morphy-698df9
CHARACTER,Elizabeth Harmon,17,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alice_Harmon|https://the-queens-gambit.fandom.com/wiki/Allston_Wheatley|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Fork|https://the-queens-gambit.fandom.com/wiki/Harmon_vs._Borgov_(1968)|https://the-queens-gambit.fandom.com/wiki/Openings,Elizabeth|Elizabeth Harmon,CHARACTER:elizabeth_harmon-e36a73
CHARACTER,Cleo,13,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Cleo,Cleo,CHARACTER:cleo-25511b
CHARACTER,Annette Packer,9,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Exchanges,Annette|Annette Packer|Packer,CHARACTER:annette_packer-8f7265
CHARACTER,Deardorff,8,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Openings,Deardorff,CHARACTER:deardorff-d8d493
CHARACTER,Luchenko,8,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game,Luchenko,CHARACTER:luchenko-936543
CHARACTER,Margaret Neil,8,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Fork,Margaret|Margaret Neil,CHARACTER:margaret_neil-832045
CHARACTER,Walter Tevis,8,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit|https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit_(novel),Tevis|Walter Tevis,CHARACTER:walter_tevis-658c18
CHARACTER,Manuel,6,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Alma_Wheatley|https://the-queens-gambit.fandom.com/wiki/Middle_Game,Manuel,CHARACTER:manuel-c1cf6c
