alias,canonical_text,entity_id,entity_class
Austria,Austria,Location:austria-082585,Location
Cincinnati,Cincinnati,Location:cincinnati-a0d99f,Location
France,France,Location:france-6ffce1,Location
George Town,George Town,Location:george_town-39f077,Location
Hotel de Ville,Hotel de Ville,Location:hotel_de_ville-b67219,Location
Hungary,Hungary,Location:hungary-8aba9c,Location
Italy,Italy,Location:italy-7dc766,Location
Kentucky,Kentucky,Location:kentucky-190bff,Location
Las Vegas,Las Vegas,Location:las_vegas-946932,Location
Lexington,Lexington,Location:lexington-693361,Location
Lucerne,Lucerne,Location:lucerne-49a600,Location
Methuen,Methuen,Location:methuen-ac58a5,Location
Mexico,Mexico,Location:mexico-cd8780,Location
Mexico City,Mexico City,Location:mexico_city-c4dd39,Location
Moscow,Moscow,Location:moscow-58824a,Location
Nevada,Nevada,Location:nevada-aacef4,Location
New York,New York,Location:new_york-a8c649,Location
Norway,Norway,Location:norway-60e542,Location
Ohio,Ohio,Location:ohio-778d5a,Location
Paris,Paris,Location:paris-4e15b1,Location
Pittsburg,Pittsburg,Location:pittsburg-4d2c8e,Location
Pittsburgh,Pittsburg,Location:pittsburg-4d2c8e,Location
Russia,Russia,Location:russia-0419b7,Location
San Francisco,San Francisco,Location:san_francisco-804927,Location
Southwest,Southwest,Location:southwest-22569f,Location
Sweden,Sweden,Location:sweden-a37856,Location
U.S,U.S,Location:u_s-d925a5,Location
USSR,USSR,Location:ussr-bdd2d8,Location
United States,United States,Location:united_states-136a3c,Location
Wakefield,Wakefield,Location:wakefield-288d8b,Location
Yugoslavia,Yugoslavia,Location:yugoslavia-b6c013,Location
a Chess Club,a Chess Club,Location:a_chess_club-69da79,Location
the Aztec Palace,the Aztec Palace,Location:the_aztec_palace-78f31d,Location
the Mariposa Hotel,the Mariposa Hotel,Location:the_mariposa_hotel-d3276f,Location
the United States,the United States,Location:the_united_states-0ad7d0,Location
Apple Pi,Apple Pi,Organization:apple_pi-3923b8,Organization
Beautiful,Beautiful,Organization:beautiful-142eed,Organization
Chess Federation,Chess Federation,Organization:chess_federation-3e38b5,Organization
Chess Life,Chess Life,Organization:chess_life-cdddff,Organization
Chess Review,Chess Review,Organization:chess_review-b0f184,Organization
Christian Crusade,Christian Crusade,Organization:christian_crusade-243686,Organization
Cornell University,Cornell University,Organization:cornell_university-07f6ca,Organization
Corvair,Corvair,Organization:corvair-89bd76,Organization
Duncan High School,Duncan High School,Organization:duncan_high_school-cbdc81,Organization
E. Townes,E. Townes,Organization:e_townes-5644c1,Organization
FIDE,FIDE,Organization:fide-b251db,Organization
Fairfield High,Fairfield High,Organization:fairfield_high-d6f9ec,Organization
Fairfield High School,Fairfield High School,Organization:fairfield_high_school-2794aa,Organization
GM Marenco,GM Marenco,Organization:gm_marenco-97ebb5,Organization
Gibson Hotel,Gibson Hotel,Organization:gibson_hotel-da4635,Organization
"Harmon, E","Harmon, E",Organization:harmon_e-39a8f6,Organization
Henry Clay High School,Henry Clay High School,Organization:henry_clay_high_school-83073e,Organization
International Master FIDE,International Master FIDE,Organization:international_master_fide-513680,Organization
Kentucky State,Kentucky State,Organization:kentucky_state-8b0edd,Organization
Lexington Herald-Leader,Lexington Herald-Leader,Organization:lexington_herald_leader-17fa19,Organization
Librium,Librium,Organization:librium-31c8ff,Organization
Life,Life,Organization:life-6146a3,Organization
Marie Claire,Marie Claire,Organization:marie_claire-0e3172,Organization
Methuen Home,Methuen Home,Organization:methuen_home-0e82f3,Organization
NPR,NPR,Organization:npr-b21d7a,Organization
Netflix,Netflix,Organization:netflix-bee0a7,Organization
Reuters,Reuters,Organization:reuters-f89ab9,Organization
State Department,State Department,Organization:state_department-c7fc39,Organization
The Observer,The Observer,Organization:the_observer-7ecb35,Organization
The State Department,The State Department,Organization:the_state_department-231c1d,Organization
Time Magazine,Time Magazine,Organization:time_magazine-6e0886,Organization
Times Magazine,Time Magazine,Organization:time_magazine-6e0886,Organization
UPI,UPI,Organization:upi-946266,Organization
USCF,USCF,Organization:uscf-0c46e4,Organization
Unknown,Unknown,Organization:unknown-75d7fa,Organization
"the ""State Normal School for Colored Persons","the ""State Normal School for Colored Persons",Organization:the_state_normal_school_for_colored_persons-06cad7,Organization
the Chess Federation,the Chess Federation,Organization:the_chess_federation-ee96a0,Organization
the Christian Crusade,the Christian Crusade,Organization:the_christian_crusade-c20d9f,Organization
the Class of 1966,the Class of 1966,Organization:the_class_of_1966-e0afe1,Organization
the King Pawn,the King Pawn,Organization:the_king_pawn-e94294,Organization
the Lexington Herald-Leader,the Lexington Herald-Leader,Organization:the_lexington_herald_leader-0b9aa4,Organization
the Methuen Home,the Methuen Home,Organization:the_methuen_home-e89837,Organization
the Sicilian Defence,the Sicilian Defence,Organization:the_sicilian_defence-2489e5,Organization
the Sicilian Defense,the Sicilian Defence,Organization:the_sicilian_defence-2489e5,Organization
the State Department,The State Department,Organization:the_state_department-231c1d,Organization
the U.S. Government,the U.S. Government,Organization:the_u_s_government-018688,Organization
the White House,the White House,Organization:the_white_house-6f3ef9,Organization
Albin,Albin,RealPerson:albin-949c34,RealPerson
Alec Bergland,Alec Bergland,RealPerson:alec_bergland-06b400,RealPerson
Alice,Alice,RealPerson:alice-c9386a,RealPerson
Alice Harmon,Alice Harmon,RealPerson:alice_harmon-fe3b25,RealPerson
Allston Wheatley,Allston Wheatley,RealPerson:allston_wheatley-41e2d6,RealPerson
Alma,Alma,RealPerson:alma-072166,RealPerson
Annabeth Kelly,Annabeth Kelly,RealPerson:annabeth_kelly-4fb0f5,RealPerson
Annette,Annette,RealPerson:annette-180865,RealPerson
Annette Packer,Annette Packer,RealPerson:annette_packer-f73dd2,RealPerson
Anya Taylor-Joy,Anya Taylor-Joy,RealPerson:anya_taylor_joy-ef2a62,RealPerson
Arthur Levertov,Arthur Levertov,RealPerson:arthur_levertov-7d5145,RealPerson
Beltik,Beltik,RealPerson:beltik-ebecb7,RealPerson
Beltik H,Beltik H,RealPerson:beltik_h-585105,RealPerson
Benny,Benny,RealPerson:benny-270f2f,RealPerson
Benny Watts,Benny Watts,RealPerson:benny_watts-31c593,RealPerson
Bergland,Bergland,RealPerson:bergland-4cab8f,RealPerson
Beth,Beth,RealPerson:beth-396d7b,RealPerson
Beth Harmon,Beth Harmon,RealPerson:beth_harmon-a3ff9f,RealPerson
Booth,Booth,RealPerson:booth-17a609,RealPerson
Borgov,Borgov,RealPerson:borgov-ca901a,RealPerson
Bulova,Bulova,RealPerson:bulova-37429c,RealPerson
Charles Levy,Charles Levy,RealPerson:charles_levy-7cec21,RealPerson
Cleo,Cleo,RealPerson:cleo-481c9e,RealPerson
Cloe,Cloe,RealPerson:cloe-6c755b,RealPerson
Cooke,Cooke,RealPerson:cooke-b1c6cc,RealPerson
D.L Townes,D.L Townes,RealPerson:d_l_townes-3a054a,RealPerson
D.L. Townes,D.L Townes,RealPerson:d_l_townes-3a054a,RealPerson
Darga,Darga,RealPerson:darga-72cd69,RealPerson
Deardorff,Deardorff,RealPerson:deardorff-cc78f6,RealPerson
Diana Lanni,Diana Lanni,RealPerson:diana_lanni-7a7025,RealPerson
Dick Evans,Dick Evans,RealPerson:dick_evans-f40379,RealPerson
Diedrich,Diedrich,RealPerson:diedrich-29d297,RealPerson
