entity_class,canonical_text,total_count,entity_label,page_context,urls,aliases,entity_id
CHARACTER,Bulova,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Middle_Game,Bulova,CHARACTER:bulova-faf089
CHARACTER,Charles Levy,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Openings,Charles Levy,CHARACTER:charles_levy-7f7647
CHARACTER,Christopher,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/End_Game,Christopher,CHARACTER:christopher-c783f9
CHARACTER,Cleo,15,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment|https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Cleo,Cleo|Cloe,CHARACTER:cleo-25511b
CHARACTER,Cooke,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Cooke,CHARACTER:cooke-d4130e
CHARACTER,Crawford Walker,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Adjournment,Crawford Walker,CHARACTER:crawford_walker-3a1b3f
CHARACTER,Cullen,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Exchanges,Cullen,CHARACTER:cullen-6474f1
CHARACTER,D.L. Townes,43,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Cleo|https://the-queens-gambit.fandom.com/wiki/D.L._Townes|https://the-queens-gambit.fandom.com/wiki/Doubled_Pawns|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Fork,D.L Townes|D.L. Townes|Townes,CHARACTER:d_l_townes-a69829
CHARACTER,Darga,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Darga,CHARACTER:darga-edba99
CHARACTER,Deardorff,8,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Exchanges|https://the-queens-gambit.fandom.com/wiki/Openings,Deardorff,CHARACTER:deardorff-d8d493
CHARACTER,Diana Lanni,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Diana Lanni,CHARACTER:diana_lanni-19020b
CHARACTER,Dick Evans,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Dick Evans,CHARACTER:dick_evans-b2825e
CHARACTER,Diedrich,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Diedrich,CHARACTER:diedrich-e67fd5
CHARACTER,Duhamel,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Duhamel,CHARACTER:duhamel-b0ac5f
CHARACTER,E. Shapkin,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,E. Shapkin,CHARACTER:e_shapkin-38c8cc
CHARACTER,Ellen Page,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/The_Queen%27s_Gambit_(novel),Ellen Page,CHARACTER:ellen_page-5c3655
CHARACTER,Fergussen,2,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/Openings,Fergussen,CHARACTER:fergussen-32a0a2
CHARACTER,Flento,4,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game,Flento,CHARACTER:flento-88c60d
CHARACTER,Friedman,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Friedman,CHARACTER:friedman-e2439e
CHARACTER,Ganz,29,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon|https://the-queens-gambit.fandom.com/wiki/End_Game|https://the-queens-gambit.fandom.com/wiki/Mr._Shaibel|https://the-queens-gambit.fandom.com/wiki/Openings|https://the-queens-gambit.fandom.com/wiki/Shaibel|https://the-queens-gambit.fandom.com/wiki/William_Shaibel,Ganz,CHARACTER:ganz-85bbea
CHARACTER,Georgi,1,PERSON,IN_UNIVERSE,https://the-queens-gambit.fandom.com/wiki/Beth_Harmon,Georgi,CHARACTER:georgi-58c4ac
